series_id,series_title,series_type,series_episodes,my_watched_episodes,my_score,my_status
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,11,8,Completed
20,Naruto,TV,220,220,9,Completed
1735,Naruto: Shippuuden,TV,500,500,9,Completed
30,Neon Genesis Evangelion,TV,26,26,10,Completed
39235,Ni no Kuni,Movie,1,0,3,Completed
40515,Nihon Chinbotsu 2020,ONA,10,0,0,Plan to Watch
36517,Ninja Batman,Movie,1,1,4,Completed
19815,No Game No Life,TV,12,0,0,Plan to Watch
39539,No Guns Life,TV,12,12,9,Completed
40529,No Guns Life 2nd Season,TV,12,12,7,Completed
40729,Nomad: Megalo Box 2,TV,13,0,0,Plan to Watch
46102,Odd Taxi,TV,13,0,10,Watching
21557,Omoide no Marnie,Movie,1,1,9,Completed
1029,Omoide Poroporo,Movie,1,1,7,Completed
30276,One Punch Man,TV,12,12,10,Completed
34134,One Punch Man 2nd Season,TV,12,12,7,Completed
12355,Ookami Kodomo no Ame to Yuki,Movie,1,1,9,Completed
1943,Paprika,Movie,1,1,9,Completed
437,Perfect Blue,Movie,1,1,9,Completed
329,Planetes,TV,26,0,0,Plan to Watch
37345,Plunderer,TV,24,1,3,Dropped
35848,Promare,Movie,1,1,8,Completed
35298,Ramen Daisuki Koizumi-san,TV,12,12,5,Completed
210,Ranma ½,TV,161,161,8,Completed
48406,Re-Main,TV,12,0,0,Plan to Watch
31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,25,10,Completed
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,13,7,Completed
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,8,4,On-Hold
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,94,8,Completed
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,4,9,Completed
1254,Saint Seiya,TV,114,114,9,Completed
12531,Sakamichi no Apollon,TV,12,12,10,Completed
12477,Sakasama no Patema,Movie,1,0,0,Plan to Watch
205,Samurai Champloo,TV,26,0,0,Plan to Watch
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,1,9,Completed
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,13,9,Completed
199,Sen to Chihiro no Kamikakushi,Movie,1,1,10,Completed
42205,Shaman King (2021),TV,52,6,0,On-Hold
23273,Shigatsu wa Kimi no Uso,TV,22,22,4,Completed
16498,Shingeki no Kyojin,TV,25,25,10,Completed
25777,Shingeki no Kyojin Season 2,TV,12,12,10,Completed
35760,Shingeki no Kyojin Season 3,TV,12,12,10,Completed
38524,Shingeki no Kyojin Season 3 Part 2,TV,10,10,10,Completed
40028,Shingeki no Kyojin: The Final Season,TV,16,16,9,Completed
48583,Shingeki no Kyojin: The Final Season Part 2,TV,0,0,0,Plan to Watch
28171,Shokugeki no Souma,TV,24,24,9,Completed
40902,Shokugeki no Souma: Gou no Sara,TV,13,13,4,Completed
32282,Shokugeki no Souma: Ni no Sara,TV,13,13,8,Completed
35788,Shokugeki no Souma: San no Sara,TV,12,12,8,Completed
36949,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV,12,12,8,Completed
39940,Shokugeki no Souma: Shin no Sara,TV,12,12,7,Completed
37569,Sirius,TV,12,0,0,Plan to Watch
39575,Somali to Mori no Kamisama,TV,12,12,8,Completed
48849,Sonny Boy,TV,12,0,0,Plan to Watch
35839,Sora yori mo Tooi Basho,TV,13,13,10,Completed
3588,Soul Eater,TV,51,51,8,Completed
39456,Sounan Desu ka?,TV,12,12,7,Completed
9253,Steins;Gate,TV,24,24,10,Completed
2418,Stranger: Mukou Hadan,Movie,1,1,9,Completed
5681,Summer Wars,Movie,1,1,6,Completed
42668,Taisou Zamurai,TV,11,11,9,Completed
2001,Tengen Toppa Gurren Lagann,TV,27,27,8,Completed
38826,Tenki no Ko,Movie,1,1,8,Completed
513,Tenkuu no Shiro Laputa,Movie,1,1,10,Completed
41353,The God of High School,TV,13,13,6,Completed
3009,Tiger Mask,TV,105,105,9,Completed
5832,Tiger Mask Nisei,TV,33,33,7,Completed
2236,Toki wo Kakeru Shoujo,Movie,1,1,10,Completed
759,Tokyo Godfathers,Movie,1,1,10,Completed
523,Tonari no Totoro,Movie,1,1,10,Completed
6,Trigun,TV,26,26,7,Completed
37521,Vinland Saga,TV,24,24,10,Completed
33352,Violet Evergarden,TV,13,13,7,Completed
37987,Violet Evergarden Movie,Movie,1,0,0,Plan to Watch
46095,Vivy: Fluorite Eye's Song,TV,13,13,7,Completed
43299,Wonder Egg Priority,TV,12,9,9,Completed
48614,Wonder Egg Priority Special,Special,1,0,0,Plan to Watch
39710,Yesterday wo Utatte,TV,12,0,0,On-Hold
392,Yuu☆Yuu☆Hakusho,TV,112,0,0,Plan to Watch
23283,Zankyou no Terror,TV,11,11,9,Completed
